chrom	start	end	Paste_locus	P1_1	P1_2	P1_3	P2_1	P2_2	P2_3	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	pos_start	pos_end	P_est.mean	P_p_value	H_est.mean	H_p_value	H_P_est	H_P_p_value	P_qvalue	H_qvalue	P_H_qvalue	Direction_parent	Direction_hybrid	P_H_ratio	Regulatory_class	Direction	Simple_class	trans_reg_diff	perc_cis
chr2R	10043765	10044663	chr2R_10043765_10044663	2049.0740260414	1521.60225466974	1550.48638545516	1721.25268945733	2150.9815211133	1622.4163864055	1532.72108245286	1712.58012428439	1779.3121763378	1948.77115257897	1903.02717250941	2069.90360163227	10043765	10044663	-0.0703844135876529	0.000296822157971555	-0.16426195750899	0	0.09386736990799	0.000609764981656863	0.00294625393086775	0	0.00130891959413253	Ambig	P2	0.42848882757166	Ambiguous	NA	Ambiguous	0.0938775439213371	63.6330188130176
chr2R	10080752	10081195	chr2R_10080752_10081195	492.815272085906	517.194855035529	580.54741373207	414.375647461949	467.132350544807	456.304608676548	640.727665615538	489.308606938396	823.263842783163	658.937008425982	475.756793127353	591.401029037791	10080752	10081195	0.17300184106413	3.02526445126805e-06	0.12359539895828	0.000184687507598551	0.0493792406341066	0.322038192732389	3.3230340587743e-05	0.00194636734465098	0.388340173589057	P1	Ambig	1.3997433765518	Cis	NA	Cis	0.04940644210585	71.4416668620679
chr2R	10134937	10135717	chr2R_10134937_10135717	1971.26108834362	2218.69097232633	2166.43303173187	1067.81416845964	1064.62721752072	946.409558736543	1947.30957196879	2189.65601604932	2044.88115788076	1079.53509891065	1169.00240597007	1360.22236678692	10134937	10135717	0.724870720398659	5.41592099476755e-11	0.538236741359629	5.87354134447788e-11	0.186616277378508	6.91016892634005e-11	8.89141733269423e-10	9.75501675742536e-10	3.12021234691809e-10	P1	P1	1.34675072267935	Cis_+_Trans,opposing	Opposing	Cis-trans	0.18663397903903	74.2527910443967
chr2R	10159319	10160281	chr2R_10159319_10160281	3190.33044560876	3260.5762600066	3086.81307789247	4143.75647461949	3954.32966507697	3667.33704010411	4120.75832003719	3963.39971620101	3054.04328774399	4598.53912263238	4716.7887775769	4435.50771778343	10159319	10160281	-0.209885220007986	0	-0.210794858962447	0	0.000918445458999691	0.963515111693275	0	0	0.967053110879419	P2	P2	0.995684719452181	Cis	NA	Cis	0.000909638954461001	99.5703261086035
chr2R	10212281	10213045	chr2R_10212281_10213045	466.877626186647	569.663898300003	488.50940911601	1035.93911865487	793.038641622579	726.707339744131	628.164378054449	648.333904193375	796.706944628867	658.937008425982	734.024766539345	975.811697912354	10212281	10213045	-0.516222519097049	0	-0.133223162330214	9.20693555372942e-06	-0.383001685963101	0	0	0.00010341268611439	0	P2	P2	3.87487063111077	Cis_+_Trans,opposing	Opposing	Cis-trans	-0.382999356766835	25.8073132034692
chr2R	10237694	10239061	chr2R_10237694_10239061	5576.59386834051	5486.76280994213	5621.39812808858	3729.38082715754	3682.74108917882	3396.93430903652	5289.14406321846	5321.23110045506	5019.25375116186	3883.52236880845	3466.22806421357	3223.13560825596	10237694	10239061	0.434104300527779	6.54507914549209e-11	0.390890844786785	6.59384447246586e-11	0.0432091598513433	0.0150241062503065	8.89141733269423e-10	9.75501675742536e-10	0.025142381888268	P1	P1	1.11055120967227	Cis_+_Trans,opposing	Opposing	Cis-trans	0.043213455740994	90.0453748814615
chr2R	10391430	10391845	chr2R_10391430_10391845	648.441147481455	599.646208736845	700.904804383841	1147.50179297155	1401.39705163442	1149.21160703723	804.050403909695	819.591916621813	743.593148320276	743.056626522916	1114.63020104123	1005.38174936424	10391430	10391845	-0.640456602574553	0	-0.19010210185303	0	-0.450355513488213	0	0	0	0	P2	Ambig	3.36901378959869	Ambiguous	NA	Ambiguous	-0.450354500721523	29.6822768457447
chr2R	10420704	10421636	chr2R_10420704_10421636	3345.95632100431	3447.96570023686	3122.21231043711	2071.87823730975	2237.8898654007	2247.72270199929	3153.38517783334	3180.50594509957	3239.94157482406	2102.99045242335	2365.19091440456	2483.88432195872	10420704	10421636	0.413531819572977	6.39678805273014e-11	0.319993447304095	6.57324889719348e-11	0.0935274136328879	3.22412508649254e-05	8.89141733269423e-10	9.75501675742536e-10	8.37727022316838e-05	P1	P1	1.2923133990928	Cis_+_Trans,opposing	Opposing	Cis-trans	0.093538372268882	77.3806106709099
chr2R	10428035	10428934	chr2R_10428035_10428934	6250.97266172122	6491.17020957635	6655.05571839203	2725.31675830743	2618.1138716581	2974.43004174342	6080.63117956707	5835.00513774037	5869.07449209932	2916.14676069371	2922.50601492517	2306.46401324738	10428035	10428934	0.846716367628475	5.94573515262011e-11	0.780945241584188	6.00422918015867e-11	0.0657770793008355	0.000484673542608019	8.89141733269423e-10	9.75501675742536e-10	0.00105268590690293	P1	P1	1.08421989474046	Cis_+_Trans,opposing	Opposing	Cis-trans	0.065771126044287	92.2322127504749
chr2R	10476995	10477996	chr2R_10476995_10477996	1115.3187736681	1056.87644289869	1182.33436699092	1227.18941748346	1271.03453520331	1588.61604502205	1118.13259293692	1039.78078974409	956.048333554641	1177.67465335707	1318.52596952438	1389.79241823881	10476995	10477996	-0.197410511032207	0	-0.221450442380714	0	0.0240232120205432	0.475734882975881	0	0	0.539561001438759	P2	P2	0.891443290471382	Cis	NA	Cis	0.024039931348507	90.2073832943758
