chr	start	end	Paste_locus	P1_1	P1_2	P1_3	P2_1	P2_2	P2_3	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	pos_start	pos_end	P_est.mean	P_p_value	H_est.mean	H_p_value	H_P_est	H_P_p_value	P_qvalue	H_qvalue	P_H_qvalue	Direction_parent	Direction_hybrid	P_H_ratio	Regulatory_class	Direction	trans_reg_diff	perc_cis
chr3R	11976988	11977190	CG10005	175.922564127518	187.972591468172	173.343128595838	173.249307419235	160.599933731396	187.801854086269	185.948903897622	204.056005525209	184.511301317206	125.935772755894	134.098882874204	122.560947035647	start	end	0.0293873197755566	0.63488195150074	0.406465409105187	4.3485969332285e-11	-0.377174619492507	2.67751477127653e-05	1	3.51568693408175e-09	0.000351289937991481	Ambig	P1	0.0722996818849882	Compensatory	Opposing	-0.37707808932963	51.8752832378968
chr3R	28598729	28599279	CG10009	393.018494327433	384.811814609372	435.421430163355	446.450138349567	429.393507029206	408.842974382498	425.026066051707	332.245034637199	485.196384945245	412.789477366543	410.506784308789	454.196450779163	start	end	-0.0571727597332472	0.152607685417055	-0.0277815741104382	0.484144445462896	-0.0293702007152318	0.601276663741024	1	1	0.752025722429193	Ambig	Ambig	2.05793809616303	Conserved	NA	-0.029391185622809	48.5923265556177
chr3R	28634375	28635063	CG10011	331.258445218836	264.225623856205	323.986561780316	326.508310136251	251.888317115558	260.928239748179	268.961807423346	332.245034637199	256.265696273897	241.376897782131	317.458579865463	255.936095280322	start	end	0.0911482351770996	0.0565326487985722	0.0510332744797331	0.29848444481782	0.0400870871509037	0.559744223566665	0.788343740850382	1	0.718927480488952	P1	P1	1.78605500247289	Conserved	NA	0.0401149606973665	55.9893171607506
chr2R	19435776	19436479	CG10023	273.241429389549	251.812339513967	297.159649021437	336.50346248736	297.532508807638	290.843579337143	219.154065307911	232.833134509533	232.347564621666	349.821590988596	265.461053853017	230.702959125924	start	end	-0.11760644789955	0.013950915665697	-0.211974564116119	3.47119922781136e-05	0.0943369516613085	0.180650430687687	0.227111444452172	0.00110740925712243	0.337107709543539	Ambig	Ambig	0.554813962656036	Ambiguous	NA	0.094368116216569	69.195243668272
chr3R	12350194	12350310	CG10038	160.950431010282	198.612549475805	189.851997985918	166.585872518495	160.599933731396	219.37915698573	232.436129872027	214.520416064963	187.928177267524	122.437556846009	153.255866141948	155.00355066273	start	end	0.00517159930542685	0.934154405037707	0.387957043321944	4.56954629008996e-11	-0.382897992438734	9.64566322170235e-06	1	3.55393598125412e-09	0.000155277425115012	Ambig	P1	0.0133303400323505	Compensatory	Opposing	-0.382785444016517	50.3354946295543
chr3R	12354194	12354845	CG10042	72.9891489465233	108.172906410929	94.925998992959	48.3099030303636	27.0484098916035	39.887119451951	86.333419666753	125.572926477052	99.0894025592401	52.4732386482894	32.8405427447031	28.8378698907405	start	end	0.873600978870626	1.45181024886606e-11	1.00221164659754	1.19684297904599e-11	-0.128600556215868	0.407571523728746	1.40568428376403e-09	1.64825618499446e-09	0.582886011084254	P1	P1	0.871673145923278	Cis	NA	-0.128610667726914	88.6268013906548
chr2R	20944027	20944156	CG10067	63.6315657482511	15.9599370114486	76.3535209291192	136.600415465166	33.8105123645044	64.8165691094203	33.2051614102896	34.0093342542015	58.0868911554166	55.9714545581753	30.1038308493112	54.0710060451385	start	end	-0.410925346893774	5.32173781242484e-05	-0.111802097143315	0.361887334641941	-0.299339431154282	0.0616890511210633	0.00140974781419831	1	0.160587371172292	Ambig	Ambig	3.67547083099008	Ambiguous	NA	-0.299123249750459	27.207398615938
chr3L	749405	750227	CG1007	1201.51368265815	1165.07540183575	1137.04837924175	782.953600836927	906.121731368717	1058.6706287872	1168.82168164219	965.341872292334	1035.31341294654	1017.98082977681	1174.04940312314	951.649706394437	start	end	0.243009288188451	6.43005182217724e-11	0.00816284390836396	0.748344957531819	0.234849402609389	6.91064348592455e-11	3.11969176596219e-09	1	2.86031957865377e-09	P1	Ambig	29.7701745759777	Trans	NA	0.234846444280087	3.35906663042186
chr2R	21294053	21294161	CG10071	1867.77360637513	1938.2456837237	2020.27289161102	2055.66966687823	2375.18849360643	2198.7774597888	2679.65652581037	2291.70590820619	2928.26268942306	3106.41572797873	2621.76999578546	3265.88876512636	start	end	-0.129143307536041	0	-0.129742899160183	0	0.000611081008206183	0.981782963003478	0	0	0.988974015503234	P2	P2	0.995378617033972	Cis	NA	0.000599591624141999	99.5399875968811
chr2R	21625034	21625605	CG10080	260.140812911968	297.918824213707	305.414083716477	386.479224242909	356.700905445521	299.153395889632	239.077162154085	298.235700382997	273.35007602549	325.334079619394	328.405427447031	342.449704952544	start	end	-0.188191130233433	4.08250649301944e-05	-0.206027045467824	1.22324575972943e-05	0.0177981624804856	0.789787544505447	0.001102547073061	0.000416089576305195	0.877393106173706	Ambig	P2	0.913429252970691	Cis	NA	0.017835915234391	92.0326635641541
