chrom	start	end	zhr1_zhr	zhr2_zhr	zhr3_zhr	z301_z30	z302_z30	z303_z30	zhrz301_z30	zhrz301_zhr	zhrz302_z30	zhrz302_zhr	zhrz303_z30	zhrz303_zhr
chr2L	5291982	5292734	223	121	155	2	33	3	27	91	31	111	11	113
chr2L	5478429	5479392	41	22	40	6	17	7	17	9	11	19	8	23
chr2L	9757958	9759204	364	165	241	4	15	9	37	134	25	201	28	217
chr2L	12640034	12640680	72	23	46	6	35	6	22	41	15	55	9	35
chr2L	14642208	14642586	148	81	83	2	14	3	19	66	10	102	9	66
chr2R	10023593	10024780	31	16	32	3	27	7	23	28	28	28	26	19
chr2R	10032883	10033934	88	54	109	19	59	11	37	64	68	58	53	62
chr2R	10034990	10037353	25	18	42	5	17	6	25	17	32	22	16	19
chr2R	10043651	10044787	68	16	64	20	78	27	61	61	81	53	61	38
chr2R	10045306	10047571	110	46	130	20	67	19	73	77	51	58	45	75
chr2R	10047907	10050526	817	331	773	137	575	172	463	521	449	504	418	440
chr2R	10050804	10053893	99	52	124	15	63	33	64	71	55	63	72	84
chr2R	10054263	10063279	2289	1031	2052	409	1624	556	1240	1557	1226	1440	1222	1554
chr2R	10063746	10070325	437	221	434	68	317	78	239	272	240	258	245	248
chr2R	10071428	10073109	38	20	36	4	32	10	11	19	14	18	15	22
chr2R	10074605	10077588	61	35	75	26	68	20	55	53	43	39	57	43
chr2R	10080297	10087098	325	141	391	35	197	65	190	234	154	182	146	166
chr2R	10093707	10096377	45	23	49	10	35	14	25	22	24	28	33	28
chr2R	10096848	10098896	83	53	139	27	82	27	107	56	101	83	95	83
chr2R	10099119	10103053	811	427	829	196	832	264	682	571	606	471	595	486
chr2R	10104585	10106150	21	12	34	8	21	6	22	16	19	20	20	19
chr2R	10110126	10112033	443	255	418	83	338	117	231	269	243	251	282	271
chr2R	10113709	10117234	61	32	60	11	27	18	17	28	30	26	31	33
chr2R	10117563	10127436	1046	542	1142	209	690	232	643	620	617	663	598	621
chr2R	10127738	10137148	588	245	564	80	323	104	341	402	286	448	277	410
chr2R	10137515	10145475	418	201	418	78	327	112	244	289	275	285	235	225
chr2R	10147365	10150116	24	21	29	3	27	9	21	24	26	13	25	22
chr2R	10150635	10151602	26	7	24	2	12	6	10	11	9	9	14	17
chr2R	10151836	10153915	44	12	53	10	33	11	39	23	25	36	28	22
chr2R	10154733	10160929	1701	757	1472	335	1438	464	1127	1054	964	1005	985	965
chr2R	10168817	10171655	18	11	26	3	7	4	14	9	15	7	10	13
chr2R	10186194	10192878	199	78	205	42	180	55	147	128	150	107	136	97
chr2R	10195134	10204843	441	191	604	84	304	153	277	370	213	266	215	237
chr2R	10208685	10215355	2029	1006	2389	291	1201	478	1141	1245	892	942	775	848
chr2R	10219317	10219939	20	8	22	3	3	5	15	8	10	8	11	6
chr2R	10225401	10227379	52	35	86	3	27	12	42	33	23	27	27	18
chr2R	10231285	10232787	29	14	31	2	16	9	14	20	14	13	13	7
chr2R	10240314	10245804	117	59	84	20	77	23	63	49	56	50	53	40
chr2R	10246374	10248193	35	24	51	5	24	10	30	36	38	28	30	34
chr2R	10248452	10250061	32	8	41	5	28	4	17	24	16	21	16	19
chr2R	10251590	10256330	318	129	311	51	205	91	232	187	187	192	157	166
chr2R	10256534	10258692	58	21	51	10	44	18	39	35	35	42	51	33
chr2R	10258985	10261276	40	15	46	5	24	15	23	21	22	21	19	33
chr2R	10262605	10267465	188	100	239	42	137	50	116	101	97	116	117	100
chr2R	10267730	10274823	1022	463	929	244	868	307	597	626	616	682	669	791
chr2R	10291948	10305162	607	319	721	126	434	164	338	376	332	370	345	324
chr2R	10307385	10321520	542	229	466	92	369	115	270	282	282	334	284	286
chr2R	10328588	10329957	28	15	27	8	23	8	15	11	14	14	14	13
chr2R	10331343	10332324	14	12	31	5	14	4	12	8	13	15	8	12
chr2R	10335035	10336080	22	6	21	2	13	4	5	5	10	17	12	13
chr2R	10338217	10343604	55	25	54	10	20	20	26	38	34	42	27	31
chr2R	10343824	10348522	55	31	64	7	39	23	40	35	48	35	33	32
chr2R	10355422	10365027	178	81	212	30	74	34	86	142	96	146	84	141
chr2R	10365277	10367507	22	12	31	4	13	4	7	13	16	12	10	9
chr2R	10368053	10370345	35	33	52	13	32	24	29	35	39	38	29	34
chr2R	10370719	10375622	58	47	95	8	29	8	31	40	39	56	19	28
chr2R	10376696	10377887	11	7	23	2	7	3	4	8	1	6	4	12
chr2R	10378201	10379668	18	11	24	6	6	10	15	5	19	14	7	12
chr2R	10383667	10385499	10	10	21	1	7	2	4	10	12	7	7	15
chr2R	10388069	10389174	26	13	32	4	13	8	25	14	24	22	14	15
chr2R	10395673	10401737	70	50	101	11	44	12	45	49	60	46	43	61
chr2R	10402041	10407589	51	20	60	8	30	23	40	22	44	38	38	27
chr2R	10411509	10413074	12	9	28	4	16	6	10	20	11	14	12	17
chr2R	10415073	10419184	192	94	152	72	334	99	211	118	236	134	224	108
chr2R	10419401	10424640	1406	640	1254	138	609	170	486	905	484	952	495	881
chr2R	10427603	10433236	1626	744	1446	203	783	264	671	1144	568	963	565	989
chr2R	10433770	10436079	29	16	38	4	25	9	19	16	19	27	19	20
chr2R	10436412	10437458	42	13	53	6	39	9	21	25	30	29	39	20
chr2R	10437875	10439036	465	240	437	98	371	129	264	294	245	247	286	267
chr2R	10439305	10442854	107	57	120	28	73	28	71	73	78	81	44	61
chr2R	10444511	10446673	20	12	34	3	18	9	27	17	30	19	24	13
chr2R	10449512	10453538	59	32	74	7	46	25	40	64	34	35	37	40
chr2R	10455241	10457204	21	13	27	6	9	3	8	13	18	13	16	17
chr2R	10464769	10484650	1852	872	1964	409	1655	549	1324	1157	1295	1111	1216	1090
chr2R	10486261	10487152	30	13	34	9	31	10	24	21	26	18	37	31
chr2R	10487385	10493287	117	63	120	16	55	25	51	62	59	78	63	66
chr2R	10496928	10497769	30	10	33	7	12	5	8	10	8	12	16	10
chr2R	10500430	10502150	90	49	65	11	54	29	36	44	38	46	31	39
chr2R	10505009	10507018	50	28	54	10	32	9	28	40	28	31	20	36
chr2R	10508300	10511667	54	33	63	5	36	21	37	26	37	45	39	36
chr2R	10512818	10514593	27	14	28	6	14	8	27	20	15	30	8	16
chr2R	10517135	10518408	38	12	47	5	20	14	24	26	26	29	33	20
chr2R	10519189	10521624	88	44	91	15	64	29	70	61	37	46	47	45
chr2R	10522051	10523434	143	63	120	25	98	33	82	89	76	75	63	86
chr2R	10523767	10526191	112	43	102	6	58	33	30	72	48	52	49	73
chr2R	10526517	10527504	39	21	49	10	40	16	39	29	30	40	39	32
chr2R	10527841	10531689	80	57	136	20	73	26	92	79	75	87	87	78
chr2R	10531911	10543815	2824	1374	3019	604	2425	803	2259	1956	1996	1847	1858	1760
chr2R	10544476	10545022	19	6	31	6	9	4	12	23	25	29	12	14
chr2R	10545800	10547710	34	23	44	1	15	2	9	23	22	18	14	30
chr2R	10547975	10548982	289	135	284	27	80	30	67	169	62	168	60	159
chr2R	10549253	10553226	174	71	151	32	100	34	114	129	78	108	85	100
chr2R	10556108	10561544	797	317	658	170	589	183	525	520	500	470	444	429
chr2R	10563439	10585616	5671	2629	5090	1045	4177	1460	3487	3881	3109	3593	2973	3506
chr2R	10608631	10615250	252	134	269	40	181	71	127	132	115	125	126	170
chr2R	10617242	10622411	422	171	415	63	316	98	279	256	294	247	253	260
chr2R	10637921	10640105	35	17	28	17	29	9	18	26	18	24	15	30
chr2R	10641911	10654058	523	248	606	57	268	106	255	386	251	384	243	358
chr2R	10654370	10658959	92	37	103	8	60	11	42	61	30	47	49	52
chr2R	10670695	10682315	1864	752	1611	233	1172	367	1016	1280	967	1276	849	1133
chr2R	10682603	10692769	300	167	351	41	195	58	156	214	182	176	155	174
chr2R	10692996	10694664	630	243	568	95	384	146	297	431	302	389	289	349
chr2R	10695175	10695843	52	10	27	4	10	3	19	21	11	11	12	31
chr2R	10697474	10702042	114	48	90	19	63	32	54	64	61	61	58	80
chr2R	10703649	10711914	195	116	193	27	100	38	92	114	94	127	116	125
chr2R	10716306	10720306	65	38	63	11	37	21	31	39	47	37	39	30
chr2R	10720511	10729718	168	76	151	15	96	30	97	115	115	122	94	102
chr2R	10730005	10738354	455	262	630	94	338	100	314	363	291	374	263	322
chr2R	10738657	10745976	217	103	263	44	168	48	148	139	161	134	153	144
chr2R	10752092	10760255	148	97	149	30	96	38	59	66	77	105	76	85
chr2R	10760721	10778804	913	439	1206	195	689	275	654	652	596	608	562	528
chr2R	10780743	10783175	224	95	286	58	212	65	200	167	154	167	143	133
chr2R	10788104	10793018	51	30	56	6	28	17	25	32	38	37	34	23
chr2R	10793357	10794592	26	13	48	4	16	7	7	30	17	30	12	27
chr2R	10795113	10800235	160	72	151	20	96	31	95	82	91	81	77	88
chr2R	10801056	10803172	65	31	64	12	50	23	27	43	32	42	47	35
chr2R	10805462	10807555	141	63	230	52	143	49	157	149	147	123	136	130
