chrom	start	end	zhr1_zhr	zhr2_zhr	zhr3_zhr	z301_z30	z302_z30	z303_z30	zhrz301_z30	zhrz301_zhr	zhrz302_z30	zhrz302_zhr	zhrz303_z30	zhrz303_zhr
chr2R	10043765	10044663	79	203	219	108	198	96	139	122	140	140	70	67
chr2R	10080752	10081195	19	69	82	26	43	27	47	51	35	40	20	31
chr2R	10134937	10135717	76	296	306	67	98	56	77	155	86	179	46	77
chr2R	10159319	10160281	123	435	436	260	364	217	328	328	347	324	150	115
chr2R	10212281	10213045	18	76	69	65	73	43	47	50	54	53	33	30
chr2R	10237694	10239061	215	732	794	234	339	201	277	421	255	435	109	189
chr2R	10391430	10391845	25	80	99	72	129	68	53	64	82	67	34	28
chr2R	10420704	10421636	129	460	441	130	206	133	150	251	174	260	84	122
chr2R	10428035	10428934	241	866	940	171	241	176	208	484	215	477	78	221
chr2R	10476995	10477996	43	141	167	77	117	94	84	89	97	85	47	36
chr2R	10537384	10538175	114	258	336	91	152	97	134	189	128	198	49	80
chr2R	10538468	10540029	88	283	301	184	257	174	172	174	207	179	102	62
chr2R	10560207	10560761	48	208	217	96	152	94	105	116	101	125	59	56
chr2R	10580558	10581323	86	313	345	218	306	218	252	203	280	200	124	76
chr2R	10674134	10676589	188	698	755	308	397	284	344	409	337	450	171	181
chr2R	10693205	10694494	69	214	240	73	137	81	104	144	109	135	32	64
chr2R	10769624	10769940	15	68	59	46	81	42	44	62	58	44	32	22
chr2R	10809131	10809562	25	104	110	31	35	35	40	48	38	54	12	28
chr2R	10813343	10813559	17	70	74	7	16	10	5	36	11	45	3	23
chr2R	10865880	10866106	15	58	63	46	72	34	49	38	44	50	14	19
chr2R	10872926	10873366	37	141	108	66	106	67	54	93	69	94	30	38
chr2R	10873679	10874052	45	171	147	61	94	48	71	92	77	85	27	35
chr2R	11135015	11135897	50	174	213	74	147	85	92	110	92	124	51	61
chr2R	11153693	11154109	24	86	88	42	89	56	49	51	49	48	25	31
chr2R	11184328	11185672	67	266	299	141	184	130	172	171	191	182	77	70
chr2R	11194102	11194768	43	152	162	37	64	28	46	103	47	90	15	44
chr2R	11383568	11383791	36	109	99	49	74	58	66	44	62	71	32	30
chr2R	11527704	11528385	47	144	140	61	103	77	89	86	87	76	36	56
chr2R	11541630	11542603	96	325	355	156	220	146	193	225	220	216	107	67
chr2R	11561459	11561799	66	225	215	109	163	107	139	140	163	161	68	56
chr2R	11606906	11608298	153	599	614	279	382	264	322	292	320	305	141	154
chr2R	11628029	11628453	14	73	81	52	72	36	42	51	43	52	20	24
chr2R	11633255	11634420	156	559	574	290	447	277	351	377	366	357	151	157
chr2R	11637475	11637802	42	126	116	31	43	31	27	70	41	75	13	30
chr2R	11647978	11648878	59	216	220	92	121	94	75	101	71	138	52	57
chr2R	11691324	11691701	19	41	37	30	38	33	33	20	26	24	15	15
chr2R	11755628	11755974	22	82	86	64	74	49	59	61	59	59	29	29
chr2R	11907419	11907856	16	52	57	20	44	18	25	38	27	38	19	15
chr2R	11953390	11953885	6	23	31	18	25	15	21	13	20	16	9	7
chr2R	11969544	11970293	24	108	113	77	88	58	60	63	80	74	43	28
chr2R	12014965	12016569	163	584	554	298	437	272	369	313	367	358	134	154
chr2R	12173020	12173549	23	71	81	34	61	26	32	45	27	38	26	24
chr2R	12226454	12226750	21	43	49	27	41	34	35	20	35	34	16	22
chr2R	12229346	12229626	18	54	51	36	25	30	26	26	27	18	18	18
chr2R	12248141	12248424	17	55	57	58	67	36	35	23	48	28	30	21
chr2R	12413969	12414896	26	119	109	44	73	44	49	64	43	65	23	38
chr2R	12457390	12458005	62	156	166	110	149	70	129	110	103	102	63	43
chr2R	12588845	12589688	21	108	111	38	53	21	43	53	49	42	9	22
chr2R	12594492	12594991	11	44	42	27	33	31	34	36	37	25	24	17
chr2R	12602215	12602811	40	127	137	108	151	96	111	83	128	99	56	40
chr2R	12633026	12633478	12	26	37	13	24	11	16	18	15	22	6	6
chr2R	12634569	12635418	44	113	117	52	65	30	44	66	67	72	31	37
chr2R	12635827	12636717	27	118	154	33	37	22	55	68	37	69	25	35
chr2R	12663223	12663468	8	51	45	19	39	21	12	27	26	26	12	12
chr2R	12716851	12717101	21	53	73	29	40	33	34	42	35	54	11	9
